Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
0	55787	0	0
-255	55787	0	0
-255	55783	-4	-4
-255	55781	-2	2
-255	55779	-2	0
-255	55776	-3	-1
-255	55771	-5	-2
-255	55766	-5	0
-255	55760	-6	-1
-255	55753	-7	-1
-255	55746	-7	0
-255	55737	-9	-2
-255	55728	-9	0
-255	55718	-10	-1
-255	55707	-11	-1
-255	55695	-12	-1
-255	55682	-13	-1
-255	55668	-14	-1
-255	55654	-14	0
-255	55638	-16	-2
-255	55622	-16	0
-255	55606	-16	0
-255	55589	-17	-1
-255	55570	-19	-2
-255	55551	-19	0
-255	55532	-19	0
-255	55513	-19	0
-255	55493	-20	-1
-255	55472	-21	-1
-255	55449	-23	-2
-255	55426	-23	0
-255	55403	-23	0
-255	55380	-23	0
-255	55357	-23	0
-255	55333	-24	-1
-255	55308	-25	-1
-255	55282	-26	-1
-255	55256	-26	0
-255	55230	-26	0
-255	55202	-28	-2
-255	55175	-27	1
-255	55147	-28	-1
-255	55119	-28	0
-255	55089	-30	-2
-255	55059	-30	0
-255	55029	-30	0
-255	55000	-29	1
-255	54970	-30	-1
-255	54938	-32	-2
-255	54905	-33	-1
-255	54872	-33	0
-255	54839	-33	0
-255	54807	-32	1
-255	54772	-35	-3
-255	54737	-35	0
-255	54702	-35	0
-255	54666	-36	-1
-255	54632	-34	2
-255	54596	-36	-2
-255	54559	-37	-1
-255	54522	-37	0
-255	54485	-37	0
-255	54449	-36	1
-255	54411	-38	-2
-255	54372	-39	-1
-255	54334	-38	1
-255	54295	-39	-1
-255	54256	-39	0
-255	54217	-39	0
-255	54175	-42	-3
-255	54133	-42	0
-255	54093	-40	2
-255	54051	-42	-2
-255	54009	-42	0
-255	53968	-41	1
-255	53926	-42	-1
-255	53883	-43	-1
-255	53841	-42	1
-255	53798	-43	-1
-255	53755	-43	0
-255	53710	-45	-2
-255	53667	-43	2
-255	53623	-44	-1
-255	53578	-45	-1
-255	53533	-45	0
-255	53488	-45	0
-255	53443	-45	0
-255	53397	-46	-1
-255	53350	-47	-1
-255	53304	-46	1
-255	53257	-47	-1
-255	53210	-47	0
-255	53162	-48	-1
-255	53114	-48	0
-255	53067	-47	1
-255	53019	-48	-1
-255	52970	-49	-1
-255	52922	-48	1
-255	52873	-49	-1
-255	52823	-50	-1
-255	52774	-49	1
-255	52724	-50	-1
-255	52674	-50	0
-255	52624	-50	0
